Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Quarter
West Gear,1128299,2020-03-04,West,Nevada,Las Vegas,Men's Athletic Footwear,64.0,150.0,9600.0,326.0,Online,2020,3,1
West Gear,1128299,2020-03-14,West,Nevada,Las Vegas,Women's Apparel,74.0,150.0,11100.0,300.0,Online,2020,3,1
West Gear,1128299,2020-04-16,West,Colorado,Denver,Women's Street Footwear,64.0,150.0,9600.0,614.0,Online,2020,4,2
West Gear,1128299,2020-05-14,West,Colorado,Denver,Men's Street Footwear,52.0,150.0,7800.0,429.0,Online,2020,5,2
West Gear,1128299,2020-05-15,West,Colorado,Denver,Men's Athletic Footwear,55.0,150.0,8250.0,305.0,Online,2020,5,2
West Gear,1128299,2020-08-05,West,Washington,Seattle,Women's Apparel,86.0,150.0,12900.0,439.0,Online,2020,8,3
Kohl's,1189833,2021-01-21,Midwest,Montana,Billings,Men's Street Footwear,39.0,150.0,5850.0,333.0,Online,2021,1,1
Kohl's,1189833,2021-02-01,Midwest,Montana,Billings,Women's Apparel,55.0,150.0,8250.0,297.0,Online,2021,2,1
Sports Direct,1197831,2021-05-04,South,Tennessee,Knoxville,Men's Athletic Footwear,32.0,150.0,4800.0,288.0,Online,2021,5,2
Sports Direct,1197831,2021-09-23,South,Alabama,Birmingham,Women's Apparel,37.0,150.0,5550.0,427.0,Online,2021,9,3
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Women's Street Footwear,79.0,150.0,11850.0,427.0,Online,2021,7,3
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,150.0,9600.0,413.0,Online,2021,11,4
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Street Footwear,48.0,150.0,7200.0,274.0,Online,2021,6,2
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Apparel,62.0,150.0,9300.0,456.0,Online,2021,6,2
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Women's Athletic Footwear,53.0,150.0,7950.0,342.0,Online,2021,7,3
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Athletic Footwear,41.0,150.0,6150.0,246.0,Online,2021,8,3
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Apparel,59.0,150.0,8850.0,416.0,Online,2021,10,4
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,39.0,150.0,5850.0,275.0,Online,2021,7,3
Kohl's,1185732,2021-09-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,44.0,150.0,6600.0,284.0,Online,2021,9,3
Kohl's,1185732,2021-10-12,West,Wyoming,Cheyenne,Women's Apparel,55.0,150.0,8250.0,305.0,Online,2021,10,4
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Apparel,82.0,150.0,12300.0,529.0,Online,2021,12,4
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,150.0,3450.0,148.0,Online,2021,2,1
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Men's Athletic Footwear,47.0,150.0,7050.0,388.0,Online,2021,5,2
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Women's Apparel,55.0,150.0,8250.0,578.0,Online,2021,5,2
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Street Footwear,34.0,150.0,5100.0,260.0,Online,2021,11,4
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Apparel,38.0,150.0,5700.0,342.0,Online,2021,6,2
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Women's Apparel,38.0,150.0,5700.0,371.0,Online,2021,7,3
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Apparel,97.0,150.0,14550.0,611.0,Online,2021,7,3
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Street Footwear,58.0,150.0,8700.0,470.0,Online,2021,11,4
Kohl's,1128299,2021-05-27,West,New Mexico,Albuquerque,Men's Street Footwear,51.0,150.0,7650.0,344.0,Online,2021,5,2
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,59.0,150.0,8850.0,478.0,Online,2021,11,4
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Apparel,67.0,150.0,10050.0,352.0,Online,2021,6,2
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Street Footwear,54.0,150.0,8100.0,373.0,Online,2021,8,3
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,29.0,150.0,4350.0,196.0,Online,2021,3,1
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,38.0,150.0,5700.0,308.0,Online,2021,5,2
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Apparel,46.0,150.0,6900.0,338.0,Online,2021,5,2
Sports Direct,1185732,2021-09-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,28.0,150.0,4200.0,210.0,Online,2021,9,3
Sports Direct,1185732,2021-10-04,Southeast,North Carolina,Charlotte,Women's Street Footwear,34.0,150.0,5100.0,260.0,Online,2021,10,4
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33.0,150.0,4950.0,248.0,Online,2021,1,1
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Men's Apparel,62.0,150.0,9300.0,437.0,Online,2021,6,2
Amazon,1185732,2021-08-10,Midwest,Ohio,Columbus,Women's Street Footwear,53.0,150.0,7950.0,405.0,Online,2021,8,3
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Apparel,59.0,150.0,8850.0,425.0,Online,2021,7,3
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Apparel,63.0,150.0,9450.0,510.0,Online,2021,7,3
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Street Footwear,27.0,150.0,4050.0,203.0,Online,2021,10,4
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Apparel,70.0,150.0,10500.0,536.0,Online,2021,12,4
West Gear,1197831,2021-09-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,49.0,150.0,7350.0,397.0,Online,2021,9,3
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Street Footwear,24.0,150.0,3600.0,162.0,Online,2021,4,2
Foot Locker,1197831,2021-12-12,Midwest,Kansas,Wichita,Men's Street Footwear,66.0,150.0,9900.0,495.0,Online,2021,12,4
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Street Footwear,55.0,150.0,8250.0,380.0,Online,2021,12,4
West Gear,1185732,2021-12-09,Midwest,Indiana,Indianapolis,Men's Street Footwear,58.0,150.0,8700.0,444.0,Online,2021,12,4
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Men's Street Footwear,43.0,150.0,6450.0,335.0,Online,2021,6,2
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Men's Street Footwear,36.0,150.0,5400.0,270.0,Online,2021,4,2
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Street Footwear,59.0,150.0,8850.0,451.0,Online,2021,12,4
Sports Direct,1185732,2021-07-13,Northeast,Massachusetts,Boston,Men's Street Footwear,52.0,150.0,7800.0,328.0,Online,2021,7,3
Amazon,1185732,2021-12-13,Northeast,Massachusetts,Boston,Men's Street Footwear,64.0,150.0,9600.0,394.0,Online,2021,12,4
Sports Direct,1197831,2021-09-14,South,Texas,Dallas,Men's Apparel,40.0,150.0,6000.0,222.0,Outlet,2021,9,3
Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,44.0,150.0,6600.0,343.0,Outlet,2021,11,4
West Gear,1128299,2020-02-11,West,Nevada,Las Vegas,Men's Apparel,47.0,150.0,7050.0,416.0,Outlet,2020,2,1
Sports Direct,1197831,2021-04-13,South,Tennessee,Knoxville,Men's Apparel,30.0,150.0,4500.0,176.0,Outlet,2021,4,2
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Athletic Footwear,45.0,150.0,6750.0,209.0,Outlet,2021,9,3
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Street Footwear,31.0,150.0,4650.0,177.0,Outlet,2021,11,4
Sports Direct,1128299,2021-12-25,West,New Mexico,Albuquerque,Women's Street Footwear,44.0,150.0,6600.0,271.0,Outlet,2021,12,4
Sports Direct,1128299,2021-02-13,West,New Mexico,Albuquerque,Men's Street Footwear,23.0,150.0,3450.0,148.0,Outlet,2021,2,1
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Street Footwear,42.0,150.0,6300.0,265.0,Outlet,2021,8,3
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Apparel,35.0,150.0,5250.0,294.0,Outlet,2021,5,2
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Men's Athletic Footwear,29.0,150.0,4350.0,170.0,Outlet,2021,6,2
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Apparel,46.0,150.0,6900.0,255.0,Outlet,2021,7,3
Foot Locker,1185732,2021-05-06,Northeast,Rhode Island,Providence,Men's Street Footwear,39.0,150.0,5850.0,240.0,Outlet,2021,5,2
Foot Locker,1185732,2021-07-12,Midwest,Illinois,Chicago,Men's Street Footwear,49.0,149.0,7301.0,372.0,Online,2021,7,3
West Gear,1128299,2020-01-26,West,Nevada,Las Vegas,Men's Street Footwear,58.0,149.0,8642.0,501.0,Online,2020,1,1
West Gear,1128299,2020-07-19,West,Washington,Seattle,Men's Street Footwear,58.0,149.0,8642.0,346.0,Online,2020,7,3
Sports Direct,1197831,2021-05-18,South,Tennessee,Knoxville,Women's Athletic Footwear,54.0,149.0,8046.0,555.0,Online,2021,5,2
Sports Direct,1197831,2021-08-24,South,Alabama,Birmingham,Women's Apparel,20.0,149.0,2980.0,224.0,Online,2021,8,3
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Men's Apparel,80.0,149.0,11920.0,358.0,Online,2021,7,3
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Street Footwear,62.0,149.0,9238.0,333.0,Online,2021,9,3
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Athletic Footwear,69.0,149.0,10281.0,339.0,Online,2021,9,3
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Men's Apparel,52.0,149.0,7748.0,372.0,Online,2021,8,3
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Women's Street Footwear,27.0,149.0,4023.0,181.0,Online,2021,3,1
Kohl's,1185732,2021-04-11,West,Wyoming,Cheyenne,Women's Apparel,36.0,149.0,5364.0,188.0,Online,2021,4,2
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Street Footwear,38.0,149.0,5662.0,272.0,Online,2021,7,3
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,82.0,149.0,12218.0,562.0,Online,2021,7,3
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Women's Apparel,74.0,149.0,11026.0,441.0,Online,2021,11,4
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,149.0,3427.0,137.0,Online,2021,1,1
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Street Footwear,29.0,149.0,4321.0,216.0,Online,2021,11,4
West Gear,1128299,2021-11-24,West,Oregon,Portland,Women's Apparel,76.0,149.0,11324.0,476.0,Online,2021,11,4
Kohl's,1128299,2021-06-26,West,New Mexico,Albuquerque,Women's Street Footwear,54.0,149.0,8046.0,402.0,Online,2021,6,2
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,50.0,149.0,7450.0,395.0,Online,2021,10,4
Sports Direct,1185732,2021-10-04,Southeast,North Carolina,Charlotte,Men's Apparel,42.0,149.0,6258.0,294.0,Online,2021,10,4
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Street Footwear,23.0,149.0,3427.0,168.0,Online,2021,1,1
West Gear,1185732,2021-07-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,45.0,149.0,6705.0,282.0,Online,2021,7,3
West Gear,1185732,2021-07-09,Midwest,Indiana,Indianapolis,Men's Street Footwear,51.0,149.0,7599.0,403.0,Online,2021,7,3
West Gear,1185732,2021-02-17,Midwest,Indiana,Indianapolis,Men's Street Footwear,33.0,149.0,4917.0,266.0,Online,2021,2,1
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Men's Street Footwear,55.0,149.0,8195.0,393.0,Online,2021,12,4
Sports Direct,1185732,2021-02-05,Northeast,New Jersey,Newark,Men's Street Footwear,39.0,149.0,5811.0,291.0,Online,2021,2,1
Kohl's,1189833,2021-04-11,West,California,Los Angeles,Men's Apparel,38.0,149.0,5662.0,345.0,Outlet,2021,4,2
Sports Direct,1197831,2021-09-01,South,Texas,Dallas,Women's Athletic Footwear,20.0,149.0,2980.0,146.0,Outlet,2021,9,3
Sports Direct,1197831,2021-10-02,South,Texas,Dallas,Men's Apparel,37.0,149.0,5513.0,221.0,Outlet,2021,10,4
West Gear,1128299,2020-03-15,West,Nevada,Las Vegas,Men's Street Footwear,20.0,149.0,2980.0,119.0,Outlet,2020,3,1
Sports Direct,1197831,2021-10-04,South,Alabama,Birmingham,Men's Apparel,37.0,149.0,5513.0,265.0,Outlet,2021,10,4
Sports Direct,1128299,2021-03-16,Southeast,Florida,Orlando,Women's Street Footwear,47.0,149.0,7003.0,224.0,Outlet,2021,3,1
Foot Locker,1128299,2021-09-25,Southeast,Virginia,Richmond,Men's Street Footwear,35.0,149.0,5215.0,219.0,Outlet,2021,9,3
West Gear,1185732,2021-02-11,West,Utah,Salt Lake City,Women's Apparel,18.0,149.0,2682.0,148.0,Outlet,2021,2,1
West Gear,1128299,2021-09-25,West,Oregon,Portland,Men's Street Footwear,34.0,149.0,5066.0,187.0,Outlet,2021,9,3
West Gear,1128299,2021-11-24,West,Oregon,Portland,Women's Athletic Footwear,39.0,149.0,5811.0,238.0,Outlet,2021,11,4
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Men's Apparel,41.0,149.0,6109.0,232.0,Outlet,2021,11,4
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Athletic Footwear,39.0,149.0,5811.0,244.0,Outlet,2021,7,3
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Women's Street Footwear,46.0,149.0,6854.0,254.0,Outlet,2021,11,4
Sports Direct,1128299,2021-01-13,West,New Mexico,Albuquerque,Men's Street Footwear,24.0,149.0,3576.0,164.0,Outlet,2021,1,1
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,42.0,149.0,6258.0,282.0,Outlet,2021,8,3
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Women's Athletic Footwear,34.0,149.0,5066.0,218.0,Outlet,2021,6,2
Walmart,1197831,2021-06-21,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,149.0,3725.0,145.0,Outlet,2021,6,2
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Apparel,40.0,149.0,5960.0,238.0,Outlet,2021,7,3
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Street Footwear,43.0,149.0,6407.0,282.0,Outlet,2021,12,4
Kohl's,1197831,2021-12-19,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,47.0,149.0,7003.0,266.0,Outlet,2021,12,4
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Men's Street Footwear,51.0,149.0,7599.0,327.0,Outlet,2021,11,4
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Street Footwear,23.0,149.0,3427.0,144.0,Outlet,2021,1,1
Sports Direct,1185732,2021-04-14,Northeast,Massachusetts,Boston,Men's Street Footwear,28.0,149.0,4172.0,138.0,Outlet,2021,4,2
Amazon,1185732,2021-08-11,Northeast,Vermont,Burlington,Men's Athletic Footwear,43.0,149.0,6407.0,333.0,Outlet,2021,8,3
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,47.0,149.0,7003.0,308.0,Outlet,2021,7,3
Foot Locker,1185732,2021-11-18,Northeast,New Hampshire,Manchester,Men's Street Footwear,59.0,149.0,8791.0,378.0,Outlet,2021,11,4
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,42.0,147.0,6174.0,259.0,Online,2020,8,3
Sports Direct,1197831,2021-08-16,South,Texas,Dallas,Women's Apparel,33.0,147.0,4851.0,267.0,Online,2021,8,3
Sports Direct,1197831,2021-09-25,South,Texas,Dallas,Women's Athletic Footwear,47.0,147.0,6909.0,449.0,Online,2021,9,3
Kohl's,1189833,2021-01-28,Midwest,Montana,Billings,Men's Athletic Footwear,42.0,147.0,6174.0,253.0,Online,2021,1,1
Sports Direct,1197831,2021-05-05,South,Tennessee,Knoxville,Women's Street Footwear,36.0,147.0,5292.0,307.0,Online,2021,5,2
Amazon,1185732,2021-12-21,Northeast,Maine,Portland,Men's Street Footwear,50.0,147.0,7350.0,338.0,Online,2021,12,4
Walmart,1128299,2021-08-10,West,Hawaii,Honolulu,Men's Apparel,69.0,147.0,10143.0,274.0,Online,2021,8,3
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Women's Street Footwear,53.0,147.0,7791.0,319.0,Online,2021,11,4
West Gear,1128299,2021-12-16,Southeast,Florida,Orlando,Men's Apparel,86.0,147.0,12642.0,442.0,Online,2021,12,4
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Men's Athletic Footwear,43.0,147.0,6321.0,284.0,Online,2021,4,2
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Street Footwear,45.0,147.0,6615.0,238.0,Online,2021,11,4
Kohl's,1185732,2021-08-11,West,Wyoming,Cheyenne,Women's Athletic Footwear,38.0,147.0,5586.0,274.0,Online,2021,8,3
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Men's Street Footwear,44.0,147.0,6468.0,330.0,Online,2021,3,1
Foot Locker,1128299,2021-05-24,West,Arizona,Phoenix,Men's Street Footwear,47.0,147.0,6909.0,325.0,Online,2021,5,2
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Athletic Footwear,46.0,147.0,6762.0,352.0,Online,2021,11,4
Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Street Footwear,33.0,147.0,4851.0,238.0,Online,2021,2,1
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,54.0,147.0,7938.0,405.0,Online,2021,6,2
Amazon,1185732,2021-10-11,Midwest,Ohio,Columbus,Women's Apparel,38.0,147.0,5586.0,352.0,Online,2021,10,4
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,63.0,147.0,9261.0,463.0,Online,2021,12,4
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Street Footwear,48.0,147.0,7056.0,367.0,Online,2021,8,3
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Athletic Footwear,42.0,147.0,6174.0,278.0,Online,2021,9,3
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Athletic Footwear,47.0,147.0,6909.0,311.0,Online,2021,7,3
Sports Direct,1185732,2021-08-09,Midwest,North Dakota,Fargo,Men's Street Footwear,46.0,147.0,6762.0,331.0,Online,2021,8,3
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Men's Street Footwear,54.0,147.0,7938.0,333.0,Online,2021,12,4
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Street Footwear,34.0,147.0,4998.0,240.0,Online,2021,2,1
Foot Locker,1185732,2021-05-31,West,California,Los Angeles,Men's Street Footwear,36.0,147.0,5292.0,238.0,Outlet,2021,5,2
Sports Direct,1197831,2021-09-29,South,Alabama,Birmingham,Women's Apparel,26.0,147.0,3822.0,275.0,Outlet,2021,9,3
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,147.0,9408.0,310.0,Outlet,2021,8,3
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Men's Apparel,58.0,147.0,8526.0,230.0,Outlet,2021,11,4
Foot Locker,1128299,2021-04-24,Southeast,Virginia,Richmond,Men's Street Footwear,38.0,147.0,5586.0,207.0,Outlet,2021,4,2
West Gear,1128299,2021-11-17,South,Louisiana,New Orleans,Men's Apparel,53.0,147.0,7791.0,366.0,Outlet,2021,11,4
West Gear,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Apparel,23.0,147.0,3381.0,169.0,Outlet,2021,1,1
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Men's Apparel,43.0,147.0,6321.0,259.0,Outlet,2021,12,4
Foot Locker,1128299,2021-06-23,West,Arizona,Phoenix,Women's Street Footwear,41.0,147.0,6027.0,229.0,Outlet,2021,6,2
Kohl's,1128299,2021-01-26,West,Arizona,Phoenix,Men's Athletic Footwear,30.0,147.0,4410.0,207.0,Outlet,2021,1,1
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Street Footwear,39.0,147.0,5733.0,241.0,Outlet,2021,9,3
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Street Footwear,36.0,147.0,5292.0,222.0,Outlet,2021,12,4
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Apparel,22.0,147.0,3234.0,171.0,Outlet,2021,4,2
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Athletic Footwear,32.0,147.0,4704.0,198.0,Outlet,2021,8,3
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Women's Street Footwear,42.0,146.0,6132.0,307.0,Online,2021,11,4
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Street Footwear,57.0,146.0,8322.0,350.0,Online,2021,5,2
Foot Locker,1185732,2020-12-18,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.0,145.0,5800.0,1740.0,Outlet,2020,12,4
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,62.0,145.0,8990.0,566.0,Online,2020,12,4
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,49.0,145.0,7105.0,469.0,Online,2021,3,1
Sports Direct,1197831,2021-08-25,South,Texas,Dallas,Women's Street Footwear,28.0,145.0,4060.0,191.0,Online,2021,8,3
Sports Direct,1197831,2021-09-14,South,Texas,Dallas,Men's Apparel,45.0,145.0,6525.0,281.0,Online,2021,9,3
Sports Direct,1197831,2021-10-13,South,Texas,Dallas,Women's Athletic Footwear,59.0,145.0,8555.0,530.0,Online,2021,10,4
Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60.0,145.0,8700.0,583.0,Online,2021,11,4
West Gear,1128299,2020-02-12,West,Nevada,Las Vegas,Women's Apparel,78.0,145.0,11310.0,339.0,Online,2020,2,1
Sports Direct,1197831,2021-04-13,South,Tennessee,Knoxville,Men's Apparel,43.0,145.0,6235.0,299.0,Online,2021,4,2
Foot Locker,1185732,2021-07-02,Midwest,Nebraska,Omaha,Men's Street Footwear,41.0,145.0,5945.0,315.0,Online,2021,7,3
Sports Direct,1197831,2021-09-04,South,Alabama,Birmingham,Men's Apparel,49.0,145.0,7105.0,391.0,Online,2021,9,3
Sports Direct,1197831,2021-10-10,South,Alabama,Birmingham,Men's Apparel,58.0,145.0,8410.0,471.0,Online,2021,10,4
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Athletic Footwear,73.0,145.0,10585.0,370.0,Online,2021,12,4
West Gear,1185732,2021-01-12,Southeast,Florida,Orlando,Women's Athletic Footwear,37.0,145.0,5365.0,220.0,Online,2021,1,1
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Apparel,49.0,145.0,7105.0,320.0,Online,2021,1,1
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Athletic Footwear,37.0,145.0,5365.0,220.0,Online,2021,2,1
Kohl's,1185732,2021-02-12,West,Wyoming,Cheyenne,Men's Apparel,47.0,145.0,6815.0,279.0,Online,2021,2,1
Kohl's,1185732,2021-04-11,West,Wyoming,Cheyenne,Women's Street Footwear,28.0,145.0,4060.0,187.0,Online,2021,4,2
Kohl's,1185732,2021-05-10,West,Wyoming,Cheyenne,Women's Street Footwear,39.0,145.0,5655.0,277.0,Online,2021,5,2
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Men's Apparel,54.0,145.0,7830.0,352.0,Online,2021,12,4
Sports Direct,1185732,2021-09-15,Midwest,Michigan,Detroit,Women's Street Footwear,34.0,145.0,4930.0,207.0,Online,2021,9,3
Sports Direct,1185732,2021-11-16,Midwest,Michigan,Detroit,Men's Athletic Footwear,42.0,145.0,6090.0,335.0,Online,2021,11,4
West Gear,1185732,2021-12-10,West,Utah,Salt Lake City,Men's Athletic Footwear,28.0,145.0,4060.0,199.0,Online,2021,12,4
West Gear,1128299,2021-05-25,West,Oregon,Portland,Men's Street Footwear,48.0,145.0,6960.0,313.0,Online,2021,5,2
West Gear,1128299,2021-09-18,South,Louisiana,New Orleans,Men's Street Footwear,43.0,145.0,6235.0,343.0,Online,2021,9,3
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Men's Street Footwear,37.0,145.0,5365.0,252.0,Online,2021,3,1
Foot Locker,1128299,2021-10-23,West,Arizona,Phoenix,Men's Athletic Footwear,47.0,145.0,6815.0,361.0,Online,2021,10,4
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Men's Apparel,57.0,145.0,8265.0,355.0,Online,2021,7,3
Sports Direct,1128299,2021-12-25,West,New Mexico,Albuquerque,Women's Athletic Footwear,55.0,145.0,7975.0,367.0,Online,2021,12,4
Sports Direct,1128299,2021-02-13,West,New Mexico,Albuquerque,Men's Street Footwear,29.0,145.0,4205.0,223.0,Online,2021,2,1
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,145.0,3625.0,163.0,Online,2021,10,4
Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Street Footwear,29.0,145.0,4205.0,193.0,Online,2021,10,4
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Street Footwear,28.0,145.0,4060.0,179.0,Online,2021,2,1
Foot Locker,1185732,2021-07-13,Northeast,Delaware,Wilmington,Women's Apparel,55.0,145.0,7975.0,399.0,Online,2021,7,3
Foot Locker,1185732,2021-01-24,Northeast,New Hampshire,Manchester,Men's Street Footwear,52.0,145.0,7540.0,347.0,Online,2021,1,1
Sports Direct,1197831,2021-10-07,South,Texas,Dallas,Women's Athletic Footwear,30.0,145.0,4350.0,235.0,Outlet,2021,10,4
West Gear,1128299,2020-01-09,West,Nevada,Las Vegas,Men's Athletic Footwear,35.0,145.0,5075.0,157.0,Outlet,2020,1,1
West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Women's Athletic Footwear,47.0,145.0,6815.0,307.0,Outlet,2020,2,1
West Gear,1128299,2020-03-16,West,Nevada,Las Vegas,Men's Athletic Footwear,31.0,145.0,4495.0,112.0,Outlet,2020,3,1
Sports Direct,1197831,2021-03-27,South,Tennessee,Knoxville,Women's Apparel,25.0,145.0,3625.0,221.0,Outlet,2021,3,1
West Gear,1128299,2021-11-24,West,Oregon,Portland,Men's Apparel,50.0,145.0,7250.0,334.0,Outlet,2021,11,4
